$2018-10-19 to 2023-12-31 Trout Creek inflows - m3/s (proportional estimate),
,
JDAY,QIN
28782,1.8
28783,1.71
28784,1.72
28785,1.49
28786,1.34
28787,1.33
28788,1.25
28789,1.13
28790,1.56
28791,2.49
28792,2.2
28793,2.16
28794,1.99
28795,2.01
28796,2.95
28797,4.98
28798,4.17
28799,3.63
28800,4.08
28801,3.8
28802,2.97
28803,2.79
28804,4.56
28805,3.29
28806,2.84
28807,3.26
28808,3.1
28809,2.45
28810,2.45
28811,2.22
28812,1.97
28813,1.84
28814,1.86
28815,1.74
28816,1.5
28817,1.15
28818,1.36
28819,2.29
28820,2.76
28821,4.2
28822,3.53
28823,3.02
28824,2.63
28825,2.6
28826,3.65
28827,4.74
28828,4.13
28829,3.44
28830,2.93
28831,2.61
28832,2.17
28833,1.99
28834,1.79
28835,1.53
28836,1.49
28837,1.32
28838,1.23
28839,1.35
28840,1.43
28841,1.55
28842,1.28
28843,1.05
28844,1.04
28845,3.84
28846,5.19
28847,3.98
28848,3.38
28849,2.86
28850,2.41
28851,2.11
28852,2.32
28853,2.49
28854,2.0
28855,1.87
28856,3.09
28857,2.48
28858,2.28
28859,2.13
28860,2.32
28861,2.48
28862,1.86
28863,1.77
28864,2.5
28865,2.15
28866,1.7
28867,1.47
28868,1.25
28869,1.01
28870,0.94
28871,0.9
28872,0.84
28873,0.78
28874,0.73
28875,0.69
28876,0.67
28877,0.78
28878,1.0
28879,8.14
28880,12.05
28881,5.99
28882,4.49
28883,3.28
28884,2.34
28885,1.8
28886,1.5
28887,1.41
28888,1.4
28889,1.41
28890,1.74
28891,3.34
28892,3.84
28893,4.87
28894,8.69
28895,6.46
28896,4.65
28897,3.91
28898,3.29
28899,3.01
28900,2.51
28901,2.26
28902,2.4
28903,1.84
28904,1.72
28905,1.4
28906,1.14
28907,1.38
28908,1.35
28909,1.08
28910,1.36
28911,2.28
28912,1.21
28913,0.92
28914,0.84
28915,0.79
28916,0.75
28917,0.72
28918,0.69
28919,0.65
28920,0.63
28921,0.61
28922,0.6
28923,0.6
28924,0.67
28925,0.89
28926,1.01
28927,0.75
28928,1.07
28929,3.69
28930,3.91
28931,3.03
28932,2.56
28933,2.23
28934,1.99
28935,2.01
28936,2.53
28937,2.2
28938,1.88
28939,1.95
28940,1.79
28941,1.67
28942,1.75
28943,2.63
28944,3.36
28945,4.05
28946,3.97
28947,3.42
28948,2.97
28949,2.46
28950,2.19
28951,2.33
28952,2.19
28953,2.1
28954,2.35
28955,2.69
28956,2.27
28957,2.08
28958,2.48
28959,2.34
28960,7.87
28961,6.32
28962,4.73
28963,3.87
28964,3.48
28965,7.33
28966,5.82
28967,4.57
28968,3.91
28969,3.52
28970,2.92
28971,2.96
28972,5.06
28973,3.86
28974,3.58
28975,3.35
28976,3.02
28977,2.66
28978,2.54
28979,3.41
28980,3.01
28981,2.87
28982,2.58
28983,2.42
28984,2.1
28985,1.97
28986,1.97
28987,2.31
28988,4.06
28989,5.82
28990,4.96
28991,4.19
28992,3.61
28993,3.14
28994,2.58
28995,5.19
28996,3.72
28997,3.01
28998,2.58
28999,2.29
29000,1.98
29001,2.08
29002,1.62
29003,1.45
29004,1.61
29005,1.32
29006,1.3
29007,0.89
29008,0.91
29009,1.06
29010,0.78
29011,0.7
29012,1.48
29013,1.08
29014,0.79
29015,0.69
29016,0.66
29017,2.23
29018,1.29
29019,1.27
29020,1.4
29021,1.09
29022,1.93
29023,2.72
29024,2.05
29025,2.05
29026,1.81
29027,2.72
29028,2.18
29029,1.7
29030,1.49
29031,1.38
29032,1.27
29033,1.31
29034,0.94
29035,0.81
29036,0.79
29037,0.71
29038,0.62
29039,0.58
29040,0.52
29041,0.47
29042,0.44
29043,0.44
29044,0.39
29045,0.36
29046,0.32
29047,0.32
29048,0.29
29049,0.27
29050,0.25
29051,0.24
29052,0.24
29053,0.33
29054,0.46
29055,0.4
29056,0.44
29057,0.33
29058,0.36
29059,0.89
29060,0.52
29061,0.36
29062,0.3
29063,0.26
29064,0.24
29065,0.23
29066,0.22
29067,0.23
29068,0.21
29069,0.19
29070,0.18
29071,0.33
29072,0.29
29073,0.32
29074,0.42
29075,0.34
29076,0.33
29077,0.28
29078,0.24
29079,0.21
29080,0.19
29081,0.2
29082,0.18
29083,0.21
29084,0.23
29085,0.33
29086,0.38
29087,0.26
29088,0.23
29089,0.3
29090,0.24
29091,0.21
29092,0.18
29093,0.17
29094,0.16
29095,0.15
29096,0.14
29097,0.14
29098,0.13
29099,0.12
29100,0.19
29101,0.25
29102,0.2
29103,0.17
29104,0.15
29105,0.14
29106,0.13
29107,0.12
29108,0.11
29109,0.11
29110,0.13
29111,0.12
29112,0.11
29113,0.11
29114,0.1
29115,0.1
29116,0.09
29117,0.09
29118,0.08
29119,0.08
29120,0.08
29121,0.08
29122,0.09
29123,0.08
29124,0.09
29125,0.09
29126,0.09
29127,0.08
29128,0.08
29129,0.08
29130,0.09
29131,0.14
29132,0.23
29133,0.19
29134,0.15
29135,0.37
29136,0.77
29137,0.43
29138,0.3
29139,0.24
29140,0.21
29141,0.19
29142,0.17
29143,0.16
29144,0.47
29145,5.49
29146,4.11
29147,2.6
29148,1.93
29149,1.61
29150,1.34
29151,2.15
29152,1.58
29153,1.29
29154,1.16
29155,1.82
29156,2.15
29157,1.63
29158,1.48
29159,2.52
29160,12.43
29161,6.06
29162,4.27
29163,3.23
29164,2.6
29165,2.16
29166,1.88
29167,1.84
29168,1.52
29169,1.38
29170,1.27
29171,1.2
29172,1.05
29173,0.91
29174,0.88
29175,0.85
29176,0.73
29177,0.73
29178,1.57
29179,1.56
29180,1.25
29181,1.31
29182,1.47
29183,1.73
29184,1.93
29185,1.83
29186,1.79
29187,2.29
29188,2.07
29189,1.86
29190,1.87
29191,1.87
29192,1.73
29193,1.58
29194,1.46
29195,1.32
29196,1.22
29197,0.95
29198,1.4
29199,7.25
29200,7.31
29201,4.57
29202,3.56
29203,4.06
29204,4.72
29205,3.3
29206,2.98
29207,2.63
29208,2.01
29209,1.76
29210,1.58
29211,1.57
29212,1.49
29213,1.55
29214,1.33
29215,1.19
29216,1.35
29217,1.8
29218,1.51
29219,2.62
29220,2.78
29221,2.48
29222,2.22
29223,2.11
29224,2.22
29225,2.1
29226,1.83
29227,1.69
29228,1.52
29229,1.25
29230,1.28
29231,1.69
29232,2.27
29233,2.01
29234,1.84
29235,1.77
29236,1.8
29237,1.56
29238,1.13
29239,1.26
29240,1.12
29241,0.99
29242,0.95
29243,0.95
29244,0.99
29245,1.36
29246,2.31
29247,1.76
29248,1.58
29249,1.4
29250,1.08
29251,1.12
29252,1.18
29253,1.16
29254,1.1
29255,1.06
29256,1.21
29257,1.28
29258,4.37
29259,4.54
29260,3.26
29261,3.03
29262,2.89
29263,2.75
29264,2.48
29265,2.19
29266,1.54
29267,1.7
29268,1.66
29269,1.53
29270,1.69
29271,1.34
29272,1.05
29273,1.0
29274,1.01
29275,1.1
29276,1.34
29277,1.64
29278,3.77
29279,2.9
29280,2.49
29281,2.21
29282,2.23
29283,2.91
29284,3.76
29285,3.15
29286,2.88
29287,2.56
29288,2.2
29289,2.03
29290,1.99
29291,2.3
29292,2.07
29293,2.28
29294,2.23
29295,1.93
29296,1.76
29297,1.69
29298,1.57
29299,2.0
29300,2.12
29301,2.02
29302,1.77
29303,1.77
29304,1.87
29305,1.82
29306,1.78
29307,1.65
29308,1.62
29309,2.5
29310,2.41
29311,2.8
29312,2.56
29313,2.36
29314,2.25
29315,2.27
29316,1.96
29317,1.77
29318,1.61
29319,1.75
29320,2.0
29321,2.37
29322,2.0
29323,1.83
29324,3.03
29325,4.22
29326,3.23
29327,2.97
29328,2.69
29329,2.63
29330,2.54
29331,2.27
29332,2.09
29333,2.13
29334,1.88
29335,1.82
29336,1.7
29337,2.11
29338,4.31
29339,4.23
29340,3.89
29341,3.57
29342,7.98
29343,5.93
29344,4.6
29345,3.68
29346,3.04
29347,2.58
29348,2.26
29349,2.05
29350,1.94
29351,1.84
29352,1.72
29353,1.5
29354,1.3
29355,1.17
29356,1.33
29357,2.71
29358,1.87
29359,1.76
29360,1.7
29361,1.51
29362,1.36
29363,1.25
29364,2.44
29365,1.8
29366,1.48
29367,1.28
29368,1.1
29369,0.99
29370,1.01
29371,1.24
29372,0.94
29373,0.7
29374,0.64
29375,0.64
29376,0.61
29377,0.52
29378,0.47
29379,0.43
29380,0.39
29381,0.35
29382,0.34
29383,0.7
29384,0.56
29385,0.38
29386,0.33
29387,0.31
29388,0.29
29389,0.27
29390,0.26
29391,0.24
29392,0.23
29393,0.21
29394,0.2
29395,0.19
29396,0.26
29397,0.25
29398,0.22
29399,0.24
29400,0.3
29401,0.41
29402,0.33
29403,0.31
29404,0.28
29405,0.24
29406,0.22
29407,0.2
29408,0.17
29409,0.16
29410,0.17
29411,0.18
29412,0.19
29413,0.32
29414,0.27
29415,0.21
29416,0.18
29417,0.16
29418,0.14
29419,0.13
29420,0.13
29421,0.12
29422,0.12
29423,0.12
29424,0.12
29425,0.11
29426,0.11
29427,0.1
29428,0.09
29429,0.1
29430,0.14
29431,0.13
29432,0.15
29433,0.13
29434,0.11
29435,0.1
29436,0.09
29437,1.45
29438,2.75
29439,0.76
29440,2.71
29441,1.58
29442,0.98
29443,0.71
29444,0.72
29445,1.66
29446,0.93
29447,0.7
29448,0.57
29449,0.47
29450,0.41
29451,0.42
29452,0.35
29453,0.32
29454,0.28
29455,0.26
29456,0.24
29457,0.22
29458,0.25
29459,0.31
29460,0.32
29461,1.02
29462,0.63
29463,0.98
29464,0.6
29465,0.48
29466,0.55
29467,0.73
29468,0.56
29469,0.44
29470,0.4
29471,0.36
29472,0.32
29473,0.29
29474,0.3
29475,0.43
29476,0.32
29477,0.27
29478,0.25
29479,0.23
29480,0.21
29481,0.2
29482,0.19
29483,0.18
29484,0.17
29485,0.16
29486,0.15
29487,0.15
29488,0.14
29489,0.14
29490,0.14
29491,0.13
29492,0.13
29493,0.15
29494,1.92
29495,1.04
29496,0.59
29497,0.47
29498,0.4
29499,0.36
29500,0.33
29501,0.31
29502,0.32
29503,0.3
29504,0.27
29505,0.25
29506,0.24
29507,0.23
29508,0.23
29509,0.22
29510,0.23
29511,0.24
29512,0.23
29513,0.22
29514,0.22
29515,0.21
29516,0.2
29517,0.2
29518,0.19
29519,0.18
29520,0.18
29521,0.19
29522,0.27
29523,0.74
29524,2.3
29525,1.57
29526,1.33
29527,1.47
29528,1.26
29529,1.15
29530,1.0
29531,0.89
29532,0.81
29533,0.72
29534,0.65
29535,0.59
29536,0.66
29537,0.94
29538,0.72
29539,0.64
29540,0.61
29541,0.91
29542,0.78
29543,0.7
29544,0.64
29545,0.64
29546,0.61
29547,0.57
29548,1.05
29549,1.13
29550,0.91
29551,1.08
29552,1.18
29553,1.08
29554,1.0
29555,1.31
29556,2.41
29557,1.95
29558,1.75
29559,1.64
29560,1.53
29561,1.37
29562,1.2
29563,1.07
29564,0.97
29565,0.94
29566,0.88
29567,0.87
29568,0.9
29569,0.82
29570,0.74
29571,0.59
29572,0.29
29573,0.52
29574,0.63
29575,0.69
29576,0.69
29577,0.67
29578,0.67
29579,2.22
29580,28.7
29581,14.42
29582,6.34
29583,4.49
29584,3.54
29585,2.77
29586,2.65
29587,2.27
29588,3.12
29589,2.88
29590,2.36
29591,2.13
29592,1.94
29593,1.74
29594,1.57
29595,1.22
29596,1.14
29597,1.12
29598,1.15
29599,1.05
29600,0.97
29601,0.93
29602,1.05
29603,1.05
29604,0.92
29605,0.84
29606,0.75
29607,0.58
29608,0.58
29609,0.49
29610,0.43
29611,0.45
29612,0.45
29613,0.45
29614,0.41
29615,0.36
29616,0.43
29617,0.46
29618,0.47
29619,0.47
29620,0.49
29621,0.47
29622,0.43
29623,0.4
29624,0.35
29625,0.32
29626,0.37
29627,0.36
29628,0.34
29629,0.28
29630,0.34
29631,0.36
29632,0.34
29633,0.55
29634,0.93
29635,0.85
29636,0.81
29637,0.77
29638,0.7
29639,0.59
29640,0.7
29641,0.72
29642,0.85
29643,0.78
29644,0.8
29645,0.94
29646,1.37
29647,1.58
29648,1.41
29649,1.42
29650,1.11
29651,1.09
29652,0.99
29653,0.84
29654,1.0
29655,1.29
29656,2.7
29657,6.04
29658,5.19
29659,4.19
29660,3.17
29661,2.71
29662,2.47
29663,3.48
29664,4.45
29665,3.04
29666,2.89
29667,2.81
29668,2.77
29669,3.11
29670,4.14
29671,4.15
29672,3.6
29673,3.34
29674,3.83
29675,2.84
29676,2.53
29677,3.12
29678,2.72
29679,2.3
29680,2.19
29681,1.97
29682,1.78
29683,1.63
29684,1.48
29685,1.35
29686,1.25
29687,1.16
29688,1.32
29689,1.39
29690,1.14
29691,1.16
29692,1.7
29693,1.76
29694,1.54
29695,1.43
29696,1.37
29697,1.35
29698,1.35
29699,1.28
29700,1.14
29701,1.07
29702,1.0
29703,0.9
29704,0.86
29705,2.47
29706,5.64
29707,4.01
29708,3.28
29709,3.27
29710,3.43
29711,3.81
29712,3.88
29713,3.14
29714,3.02
29715,2.96
29716,3.77
29717,2.94
29718,2.58
29719,2.31
29720,2.06
29721,1.81
29722,1.61
29723,1.43
29724,1.26
29725,1.1
29726,0.97
29727,0.86
29728,0.77
29729,0.71
29730,0.67
29731,0.6
29732,0.59
29733,0.74
29734,0.7
29735,1.85
29736,1.34
29737,1.65
29738,1.09
29739,0.92
29740,0.94
29741,1.85
29742,1.33
29743,1.02
29744,0.87
29745,0.81
29746,1.49
29747,1.0
29748,0.76
29749,0.67
29750,0.63
29751,0.77
29752,0.83
29753,0.65
29754,0.53
29755,0.46
29756,0.44
29757,0.43
29758,0.4
29759,0.51
29760,0.47
29761,0.37
29762,0.32
29763,0.29
29764,0.27
29765,0.25
29766,0.23
29767,0.36
29768,0.76
29769,0.9
29770,1.03
29771,0.87
29772,0.6
29773,0.52
29774,0.49
29775,0.88
29776,1.19
29777,1.06
29778,1.21
29779,8.51
29780,5.51
29781,4.01
29782,2.96
29783,2.24
29784,1.95
29785,4.19
29786,2.54
29787,2.03
29788,4.73
29789,2.74
29790,2.14
29791,1.81
29792,1.63
29793,1.43
29794,1.19
29795,1.36
29796,1.01
29797,0.92
29798,0.78
29799,0.83
29800,1.22
29801,0.78
29802,0.64
29803,0.57
29804,0.51
29805,0.46
29806,0.42
29807,0.4
29808,0.37
29809,0.35
29810,0.36
29811,0.46
29812,0.41
29813,0.33
29814,0.29
29815,0.31
29816,0.32
29817,0.62
29818,0.85
29819,2.03
29820,1.26
29821,4.47
29822,2.95
29823,2.08
29824,1.66
29825,1.42
29826,1.3
29827,1.07
29828,0.95
29829,0.86
29830,0.97
29831,2.45
29832,1.41
29833,1.13
29834,1.01
29835,1.3
29836,1.01
29837,0.85
29838,1.33
29839,1.06
29840,0.83
29841,0.73
29842,0.78
29843,0.77
29844,0.99
29845,2.36
29846,1.46
29847,1.27
29848,1.11
29849,0.95
29850,0.84
29851,0.77
29852,1.88
29853,7.26
29854,3.82
29855,2.91
29856,2.31
29857,1.97
29858,1.66
29859,1.42
29860,1.22
29861,1.07
29862,0.96
29863,1.63
29864,2.59
29865,1.64
29866,1.4
29867,1.29
29868,1.2
29869,1.1
29870,1.02
29871,0.94
29872,0.87
29873,0.86
29874,0.8
29875,1.26
29876,2.93
29877,1.9
29878,1.82
29879,1.6
29880,1.47
29881,1.49
29882,1.36
29883,1.21
29884,1.7
29885,5.85
29886,9.97
29887,6.07
29888,4.18
29889,3.8
29890,3.02
29891,2.54
29892,2.1
29893,1.85
29894,1.64
29895,1.47
29896,1.3
29897,1.18
29898,1.07
29899,0.97
29900,0.89
29901,0.8
29902,3.31
29903,4.12
29904,4.36
29905,3.44
29906,2.97
29907,2.48
29908,2.24
29909,2.53
29910,1.99
29911,1.81
29912,2.08
29913,1.78
29914,1.54
29915,1.45
29916,1.65
29917,1.6
29918,1.32
29919,1.23
29920,1.11
29921,1.13
29922,1.46
29923,2.0
29924,1.53
29925,1.4
29926,1.42
29927,1.75
29928,1.47
29929,1.38
29930,1.29
29931,2.3
29932,2.49
29933,2.0
29934,1.89
29935,1.78
29936,1.83
29937,1.6
29938,1.48
29939,1.84
29940,1.42
29941,1.28
29942,1.23
29943,1.14
29944,1.05
29945,1.42
29946,2.07
29947,1.54
29948,1.47
29949,1.61
29950,1.68
29951,1.7
29952,1.64
29953,1.78
29954,1.61
29955,1.24
29956,1.3
29957,1.34
29958,1.23
29959,0.89
29960,0.85
29961,0.84
29962,0.56
29963,0.57
29964,0.67
29965,0.64
29966,0.44
29967,0.43
29968,0.53
29969,0.56
29970,0.56
29971,0.53
29972,0.42
29973,0.39
29974,0.4
29975,0.45
29976,0.45
29977,0.35
29978,0.33
29979,0.38
29980,0.36
29981,0.3
29982,0.3
29983,0.29
29984,0.34
29985,0.45
29986,2.7
29987,1.91
29988,1.03
29989,1.11
29990,1.06
29991,0.89
29992,0.92
29993,0.87
29994,1.06
29995,1.23
29996,0.74
29997,0.68
29998,0.72
29999,1.18
30000,6.81
30001,4.65
30002,3.21
30003,2.77
30004,2.99
30005,6.55
30006,4.26
30007,3.46
30008,2.81
30009,2.35
30010,1.97
30011,1.68
30012,1.41
30013,1.15
30014,1.07
30015,1.02
30016,1.51
30017,4.04
30018,5.94
30019,3.98
30020,3.47
30021,3.18
30022,2.98
30023,2.44
30024,2.26
30025,2.53
30026,3.07
30027,3.04
30028,3.0
30029,3.52
30030,3.88
30031,3.33
30032,2.79
30033,2.43
30034,2.52
30035,3.18
30036,2.86
30037,3.15
30038,2.64
30039,2.33
30040,2.1
30041,2.59
30042,7.09
30043,4.96
30044,4.38
30045,4.33
30046,3.52
30047,3.04
30048,6.94
30049,22.85
30050,9.71
30051,6.24
30052,4.34
30053,3.65
30054,2.94
30055,2.56
30056,2.27
30057,1.96
30058,2.13
30059,1.7
30060,2.2
30061,2.74
30062,3.96
30063,4.96
30064,4.51
30065,4.13
30066,3.42
30067,3.01
30068,2.95
30069,2.47
30070,2.09
30071,1.85
30072,1.67
30073,1.62
30074,1.51
30075,1.46
30076,1.69
30077,1.31
30078,1.18
30079,1.07
30080,0.97
30081,0.89
30082,0.82
30083,0.77
30084,0.74
30085,0.73
30086,0.84
30087,1.14
30088,1.48
30089,0.99
30090,1.2
30091,1.24
30092,1.02
30093,1.0
30094,1.05
30095,0.87
30096,0.81
30097,0.74
30098,0.71
30099,0.7
30100,0.65
30101,0.57
30102,0.52
30103,0.49
30104,0.67
30105,0.51
30106,0.4
30107,0.36
30108,0.33
30109,0.33
30110,0.47
30111,1.09
30112,0.8
30113,0.51
30114,0.44
30115,0.41
30116,0.36
30117,0.32
30118,0.45
30119,0.46
30120,0.35
30121,0.31
30122,0.28
30123,0.26
30124,0.25
30125,1.16
30126,0.91
30127,0.56
30128,0.45
30129,0.43
30130,0.46
30131,0.37
30132,0.32
30133,0.3
30134,0.6
30135,0.44
30136,0.33
30137,0.28
30138,0.3
30139,0.28
30140,0.25
30141,0.23
30142,0.21
30143,0.19
30144,0.2
30145,0.26
30146,0.28
30147,0.23
30148,0.19
30149,0.17
30150,0.18
30151,0.2
30152,0.18
30153,0.16
30154,0.15
30155,0.13
30156,0.13
30157,0.16
30158,0.17
30159,0.14
30160,0.13
30161,0.13
30162,0.13
30163,0.13
30164,0.12
30165,0.11
30166,0.1
30167,0.1
30168,0.12
30169,0.11
30170,0.12
30171,0.11
30172,0.11
30173,0.1
30174,0.09
30175,0.09
30176,0.08
30177,0.08
30178,0.08
30179,0.08
30180,0.07
30181,0.07
30182,0.07
30183,0.07
30184,0.1
30185,0.09
30186,0.1
30187,0.11
30188,0.13
30189,0.12
30190,0.11
30191,0.09
30192,0.08
30193,0.23
30194,0.53
30195,0.3
30196,0.18
30197,0.14
30198,0.13
30199,0.33
30200,1.19
30201,1.49
30202,0.73
30203,0.47
30204,0.35
30205,0.29
30206,0.28
30207,1.28
30208,1.3
30209,0.79
30210,0.58
30211,0.48
30212,0.41
30213,0.4
30214,0.55
30215,0.54
30216,0.86
30217,1.2
30218,0.75
30219,0.67
30220,0.9
30221,0.79
30222,0.75
30223,0.68
30224,0.59
30225,0.53
30226,0.48
30227,0.44
30228,0.4
30229,0.49
30230,0.58
30231,0.48
30232,0.41
30233,0.37
30234,0.34
30235,0.32
30236,0.3
30237,0.31
30238,1.05
30239,0.92
30240,0.68
30241,0.63
30242,0.68
30243,0.61
30244,0.55
30245,0.51
30246,0.47
30247,0.44
30248,0.42
30249,0.43
30250,0.44
30251,0.43
30252,0.39
30253,0.36
30254,0.34
30255,0.33
30256,0.33
30257,0.33
30258,0.31
30259,0.29
30260,0.28
30261,0.28
30262,0.29
30263,0.28
30264,0.26
30265,0.25
30266,0.31
30267,1.78
30268,1.61
30269,1.27
30270,1.11
30271,1.61
30272,1.86
30273,1.53
30274,1.36
30275,1.22
30276,1.06
30277,1.0
30278,0.94
30279,0.86
30280,0.85
30281,0.89
30282,1.07
30283,3.77
30284,2.68
30285,2.62
30286,3.39
30287,2.54
30288,2.63
30289,2.81
30290,2.24
30291,2.13
30292,2.65
30293,2.33
30294,2.12
30295,1.9
30296,1.8
30297,1.73
30298,1.52
30299,1.32
30300,1.2
30301,1.33
30302,1.53
30303,1.35
30304,1.21
30305,1.11
30306,1.02
30307,0.99
30308,6.57
30309,5.71
30310,3.51
30311,2.91
30312,2.52
30313,2.2
30314,1.95
30315,1.98
30316,2.58
30317,3.13
30318,2.73
30319,2.77
30320,3.49
30321,3.01
30322,2.63
30323,2.42
30324,2.14
30325,1.94
30326,1.78
30327,1.59
30328,1.48
30329,2.66
30330,2.29
30331,1.84
30332,1.62
30333,1.58
30334,1.66
30335,1.97
30336,3.01
30337,2.57
30338,2.17
30339,2.29
30340,2.05
30341,1.86
30342,2.25
30343,2.02
30344,1.74
30345,1.63
30346,1.64
30347,1.67
30348,1.37
30349,1.14
30350,1.06
30351,0.59
30352,1.08
30353,1.22
30354,1.02
30355,0.97
30356,0.96
30357,1.74
30358,1.59
30359,1.24
30360,1.27
30361,1.26
30362,1.22
30363,1.26
30364,1.41
30365,1.49
30366,1.32
30367,1.29
30368,1.27
30369,1.22
30370,1.92
30371,2.96
30372,2.04
30373,2.0
30374,1.88
30375,1.84
30376,1.71
30377,1.72
30378,1.84
30379,1.89
30380,1.72
30381,1.61
30382,1.59
30383,1.4
30384,1.27
30385,1.21
30386,1.28
30387,1.14
30388,1.16
30389,1.33
30390,1.22
30391,1.08
30392,1.47
30393,2.64
30394,2.22
30395,1.92
30396,2.04
30397,2.65
30398,4.37
30399,6.85
30400,6.01
30401,5.82
30402,5.2
30403,4.64
30404,3.95
30405,3.55
30406,3.14
30407,4.53
30408,4.78
30409,3.89
30410,3.36
30411,2.93
30412,2.94
30413,2.7
30414,2.25
30415,1.97
30416,1.74
30417,1.58
30418,1.43
30419,1.28
30420,1.16
30421,1.08
30422,1.48
30423,1.27
30424,1.31
30425,1.09
30426,0.98
30427,0.9
30428,0.88
30429,3.26
30430,2.93
30431,2.54
30432,2.31
30433,2.22
30434,1.91
30435,1.9
30436,3.1
30437,9.1
30438,6.13
30439,4.97
30440,4.38
30441,3.69
30442,3.07
30443,2.66
30444,2.5
30445,2.07
30446,1.78
30447,1.56
30448,1.37
30449,1.2
30450,1.04
30451,0.93
30452,0.84
30453,0.76
30454,0.69
30455,0.63
30456,0.59
30457,0.6
30458,0.55
30459,0.51
30460,0.46
30461,0.43
30462,0.4
30463,0.37
30464,0.35
30465,0.32
30466,0.3
30467,0.28
30468,0.24
30469,0.23
30470,0.26
30471,0.26
30472,0.23
30473,0.21
30474,0.2
30475,0.2
30476,0.2
30477,0.21
30478,0.2
30479,0.2
30480,0.46
30481,0.41
30482,0.4
30483,0.34
30484,0.32
30485,0.33
30486,0.31
30487,0.25
30488,0.22
30489,0.19
30490,0.18
30491,0.2
30492,0.25
30493,0.95
30494,1.65
30495,0.94
30496,0.8
30497,0.61
30498,0.51
30499,0.83
30500,3.06
30501,1.86
30502,1.43
30503,1.11
30504,1.14
30505,1.38
30506,1.1
30507,1.25
30508,1.24
30509,0.87
30510,0.82
30511,1.2
30512,2.51
30513,1.91
30514,1.69
30515,1.4
30516,1.16
30517,0.93
30518,0.89
30519,0.79
30520,0.65
30521,0.66
30522,0.84
30523,0.63
30524,0.69
30525,0.87
30526,0.67
30527,0.81
30528,0.63
30529,0.55
30530,0.47
30531,0.42
30532,0.41
30533,0.48
30534,0.41
30535,0.55
30536,1.26
30537,0.89
30538,0.67
30539,0.59
30540,0.51
30541,0.46
30542,0.42
30543,1.29
30544,1.07
30545,0.72
30546,3.47
30547,2.19
30548,1.6
30549,1.34
30550,1.12
30551,0.91
30552,0.79
30553,0.9
30554,0.83
30555,0.66
30556,0.58
30557,0.55
30558,0.69
30559,0.64
30560,0.49
30561,0.43
30562,0.39
30563,0.36
30564,0.34
30565,0.32
30566,0.33
30567,0.42
30568,0.49
30569,0.47
30570,0.48
30571,0.51
30572,0.66
30573,0.61
30574,0.45
30575,0.39
30576,0.36
30577,0.58
30578,0.58
30579,0.45
30580,0.39
30581,0.35
30582,0.34
30583,0.48
30584,0.9
30585,0.93
30586,0.65
30587,0.56
30588,0.53
30589,0.5
30590,0.47
30591,0.43
30592,0.4
30593,0.37
30594,0.35
30595,0.35
30596,1.2
30597,2.36
30598,1.51
30599,1.26
30600,1.08
30601,0.95
30602,0.84
30603,0.77
30604,0.74
30605,0.7
30606,0.83
30607,0.69
30608,0.6
30609,0.56
30610,0.53
30611,0.57
30612,0.57
30613,0.52
30614,0.47
30615,0.44
30616,0.42
30617,0.41
30618,0.47
30619,1.14
30620,1.55
30621,1.16
30622,1.1
30623,1.04
30624,0.97
30625,0.91
30626,0.85
30627,0.84
30628,0.78
30629,0.73
30630,0.73
30631,0.64
30632,0.59
30633,0.55
30634,0.55
30635,0.57
30636,0.52
30637,0.49
30638,0.56
30639,0.55
30640,0.49
30641,0.46
30642,1.12
30643,1.08
30644,0.89
30645,0.83
30646,0.85
30647,2.82
30648,2.09
30649,1.84
30650,1.68
30651,1.68
30652,1.64
30653,2.13
30654,3.16
30655,2.37
30656,2.18
30657,2.0
30658,1.84
30659,1.71
30660,1.95
30661,4.59
30662,3.16
30663,2.8
30664,2.48
30665,2.26
30666,2.16
30667,2.28
30668,16.35
30669,14.55
30670,6.94
30671,4.91
30672,3.74
30673,3.06
30674,2.72
30675,2.43
30676,2.11
30677,2.23
30678,2.73
30679,2.47
30680,2.48
30681,2.31
